time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447000000	18.9087	7.29128	4.88138	0.976874	0.320318	lidar	4.16861	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9923	7.50006	4.82081	1.03004	0.399459	radar	4.10098	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0806	7.76347	4.87304	1.08066	0.440191	lidar	1.05196	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2026	7.96994	4.87291	1.09198	0.41922	radar	0.333918	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2813	8.18516	4.85303	1.12459	0.435372	lidar	1.34299	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3818	8.39482	4.8524	1.13551	0.406229	radar	2.30411	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.48	8.53974	4.74896	1.13526	0.381646	lidar	3.97622	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5699	8.74972	4.72769	1.16136	0.400915	radar	0.579341	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.737	8.91785	4.69547	1.1372	0.34309	lidar	4.15492	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8074	9.14202	4.67819	1.17929	0.39613	radar	1.05514	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9396	9.36466	4.70614	1.18147	0.372055	lidar	2.97278	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9797	9.59231	4.6705	1.24075	0.458398	radar	2.58603	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0663	9.8307	4.69957	1.26185	0.455282	lidar	0.753341	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1276	10.0791	4.74238	1.28485	0.439728	radar	7.19655	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1732	10.3516	4.79972	1.32471	0.461432	lidar	0.849964	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1851	10.5923	4.78194	1.38226	0.530702	radar	2.59639	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2425	10.8629	4.83723	1.40857	0.528428	lidar	2.03205	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2727	11.1194	4.86902	1.43293	0.511144	radar	4.92542	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3066	11.3565	4.8637	1.45618	0.50846	lidar	0.0104271	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2456	11.6109	4.84471	1.55049	0.649957	radar	9.56094	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3182	11.8474	4.84243	1.55103	0.609861	lidar	5.21182	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3499	12.0804	4.84894	1.53897	0.504034	radar	4.2279	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3362	12.3655	4.91314	1.57588	0.515454	lidar	1.02667	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2831	12.6061	4.8922	1.64426	0.610896	radar	2.71669	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.309	12.8432	4.87929	1.65406	0.585878	lidar	2.08339	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2974	13.0756	4.86229	1.678	0.580913	radar	2.12248	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2617	13.2879	4.81996	1.70855	0.5847	lidar	1.00221	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2243	13.5236	4.82077	1.72952	0.55786	radar	1.35288	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2049	13.7806	4.84565	1.74836	0.545685	lidar	1.37853	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1485	14.0088	4.83128	1.78675	0.573079	radar	0.772441	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0936	14.2625	4.85941	1.81504	0.571465	lidar	0.344369	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0219	14.4922	4.85639	1.84444	0.566173	radar	1.35478	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9131	14.7456	4.90203	1.88823	0.583116	lidar	1.06806	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8477	14.9647	4.8806	1.89867	0.534538	radar	3.42173	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.82	15.182	4.83846	1.90466	0.511383	lidar	2.28554	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6842	15.3905	4.82345	1.9989	0.687164	radar	7.44592	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6552	15.5777	4.74048	2.00646	0.658086	lidar	3.87053	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5635	15.7836	4.72412	2.02805	0.630205	radar	1.46025	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4591	15.996	4.72562	2.05806	0.628337	lidar	0.023297	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3596	16.2055	4.72086	2.06495	0.561425	radar	1.97018	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2508	16.3826	4.67657	2.09473	0.565416	lidar	0.691227	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.133	16.5793	4.66977	2.12431	0.570282	radar	0.276391	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0033	16.7893	4.69106	2.15228	0.568765	lidar	0.138168	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8454	16.9795	4.70746	2.2227	0.682388	radar	6.18632	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6702	17.2135	4.79655	2.25823	0.680388	lidar	1.86129	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5709	17.4212	4.77154	2.22333	0.509073	radar	6.25833	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.358	17.6131	4.83289	2.27005	0.531407	lidar	3.80331	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.221	17.8063	4.82472	2.26588	0.451098	radar	1.88194	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
